189	101	34	40
194	110	34	37
192	109	35	41
202	118	32	42
202	118	32	42
202	118	32	42
202	118	32	42
202	118	32	42
202	118	32	42
197	135	43	35
199	136	34	38
193	134	39	36
193	133	40	40
193	133	36	36
191	138	39	33
196	140	35	33
191	138	41	35
192	138	38	36
194	135	37	30
200	129	31	35
201	123	35	29
202	117	36	36
204	112	35	37
201	114	32	37
201	114	32	37
201	114	32	37
201	114	32	37
201	114	32	37
201	114	32	37
222	109	32	35
226	103	36	33
229	93	34	33
227	91	38	36
227	85	42	36
229	77	35	38
226	77	40	40
228	81	39	37
229	81	36	37
226	84	36	40
223	88	43	40
224	97	34	38
222	95	33	42
219	91	36	45
223	94	36	45
223	94	36	45
223	94	36	45
223	94	36	45
223	94	36	45
223	94	36	45
245	57	29	37
250	56	33	41
256	53	25	34
253	54	26	39
257	51	29	33
263	41	27	40
266	35	27	40
273	33	27	39
273	32	26	40
276	33	27	39
275	30	26	40
275	34	29	43
275	38	28	40
276	40	26	37
275	47	26	40
275	47	26	40
275	47	26	40
275	47	26	40
275	47	26	40
275	47	26	40
272	73	26	39
272	73	27	39
270	66	33	43
272	66	26	39
272	61	31	40
274	59	28	39
272	53	30	43
272	50	27	35
273	51	29	39
273	48	27	39
275	46	32	37
279	44	26	41
279	46	30	40
277	45	32	40
276	48	30	36
276	48	30	36
276	48	30	36
276	48	30	36
276	48	30	36
276	48	30	36
269	66	25	36
264	65	29	40
253	65	29	39
254	64	30	42
244	67	31	38
240	67	28	43
231	66	32	44
224	66	31	45
223	67	29	38
219	67	28	43
208	69	35	46
207	81	35	46
202	91	34	42
200	90	35	44
200	95	33	44
276	48	30	36
276	48	30	36
276	48	30	36
276	48	30	36
276	48	30	36
208	125	43	37
206	128	40	39
208	135	45	35
210	133	42	34
207	132	44	40
208	134	44	36
205	138	46	33
208	140	46	36
207	137	46	39
212	139	43	39
210	141	43	37
207	140	47	39
209	142	46	39
212	144	44	36
212	143	42	38
212	143	42	38
212	143	42	38
212	143	42	38
212	143	42	38
212	143	42	38
215	166	49	38
215	163	49	39
223	162	46	34
224	164	42	31
226	157	45	36
224	143	44	38
227	135	43	37
231	126	42	35
232	126	40	36
237	120	38	34
237	109	42	42
240	100	42	42
244	94	37	38
244	92	35	41
249	88	36	39
249	88	36	39
249	88	36	39
249	88	36	39
249	88	36	39
249	88	36	39
269	57	32	43
271	56	33	39
273	54	33	41
271	53	35	41
271	56	33	41
271	59	32	42
272	63	33	41
278	66	30	39
276	65	33	40
284	68	32	42
288	67	34	44
294	71	36	40
298	69	34	40
299	69	31	41
303	70	36	42
303	70	36	42
303	70	36	42
303	70	36	42
303	70	36	42
303	70	36	42
347	78	37	44
351	82	37	35
352	80	41	38
353	80	41	40
351	76	41	41
354	73	40	40
356	76	37	39
348	82	42	37
349	79	40	37
350	85	43	38
352	88	39	35
356	99	39	31
366	105	36	36
364	110	38	31
371	122	39	31
379	137	40	32
